submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
437598,ISCLAB,-999.999 (7),-999.999 (7),,,
441651,ad26kt,-999.999 (7),-999.999 (7),,,
445038,wangmin,-999.999 (7),-999.999 (7),,,
439087,hebe,-999.999 (7),-999.999 (7),,,
439099,minok00,-999.999 (7),-999.999 (7),,,
439130,AlexandraFlescan,-999.999 (7),-999.999 (7),,,
439145,utpalsikdar,-999.999 (7),-999.999 (7),,,
439154,jogonba2,-999.999 (7),-999.999 (7),,,
439143,danielfl,-999.999 (7),-999.999 (7),,,
439349,venkatesh-1729,-999.999 (7),-999.999 (7),,,
439843,ruwanw,-999.999 (7),-999.999 (7),,,
439905,anasteam,-999.999 (7),-999.999 (7),,,
440357,dragoni,-999.999 (7),-999.999 (7),,,
440376,Habibeh,-999.999 (7),-999.999 (7),,,
440637,dmikrav,-999.999 (7),-999.999 (7),,,
460109,FrosinaStojanovska,-999.999 (7),-999.999 (7),,,
451204,prabod,-999.999 (7),-999.999 (7),,,
466305,dominikstanojevic,-999.999 (7),-999.999 (7),,,
469089,bakrianoo,-999.999 (7),-999.999 (7),,,
475341,nvidia,-999.999 (7),-999.999 (7),,,
submission_pk,User,Pearson (all instances),Pearson (gold in 0.5-1)
,valence,valence
439143,danielfl,0.770 (1),0.642 (1),,,
439154,jogonba2,0.742 (2),0.571 (2),,,
438767,yoyo,0.597 (3),0.520 (4),,,
439109,NAVEEN.J.R,0.580 (4),0.526 (3),,,
440157,bicici,0.272 (5),0.359 (5),,,
439367,Amrita_student,0.193 (6),0.230 (6),,,
439459,thelonewolf190694,0.182 (7),0.128 (7),,,
500063,mhjabreel,-999.999 (8),-999.999 (8),,,
496648,yjiang18,-999.999 (8),-999.999 (8),,,
488537,nvidia-AI,-999.999 (8),-999.999 (8),,,
486041,AngeloMarlon,-999.999 (8),-999.999 (8),,,
481606,derrickpehjh,-999.999 (8),-999.999 (8),,,
437726,CZWin32768,-999.999 (8),-999.999 (8),,,
437810,hhaddad,-999.999 (8),-999.999 (8),,,
442297,to.john.mcgonical,-999.999 (8),-999.999 (8),,,
438639,psyml,-999.999 (8),-999.999 (8),,,
437594,lanman,-999.999 (8),-999.999 (8),,,
437598,ISCLAB,-999.999 (8),-999.999 (8),,,
441651,ad26kt,-999.999 (8),-999.999 (8),,,
445038,wangmin,-999.999 (8),-999.999 (8),,,
439087,hebe,-999.999 (8),-999.999 (8),,,
439099,minok00,-999.999 (8),-999.999 (8),,,
439130,AlexandraFlescan,-999.999 (8),-999.999 (8),,,
439145,utpalsikdar,-999.999 (8),-999.999 (8),,,
439196,NAGOUDI,-999.999 (8),-999.999 (8),,,
439349,venkatesh-1729,-999.999 (8),-999.999 (8),,,
439843,ruwanw,-999.999 (8),-999.999 (8),,,
439905,anasteam,-999.999 (8),-999.999 (8),,,
440357,dragoni,-999.999 (8),-999.999 (8),,,
440376,Habibeh,-999.999 (8),-999.999 (8),,,
440637,dmikrav,-999.999 (8),-999.999 (8),,,
460109,FrosinaStojanovska,-999.999 (8),-999.999 (8),,,
451204,prabod,-999.999 (8),-999.999 (8),,,
466305,dominikstanojevic,-999.999 (8),-999.999 (8),,,
469089,bakrianoo,-999.999 (8),-999.999 (8),,,
469166,Malak,-999.999 (8),-999.999 (8),,,
475341,nvidia,-999.999 (8),-999.999 (8),,,
submission_pk,User,Pearson (all classes),Pearson (some-emotion),Kappa  (all classes),Kappa (some-emotion)
,valence,valence,valence,valence
439349,venkatesh-1729,0.836 (1),0.884 (1),0.831 (1),0.873 (1),,,,,
439143,danielfl,0.813 (2),0.865 (3),0.812 (2),0.863 (2),,,,,
438639,psyml,0.802 (3),0.869 (2),0.796 (3),0.859 (3),,,,,
439905,anasteam,0.776 (4),0.854 (4),0.763 (4),0.849 (4),,,,,
439154,jogonba2,0.759 (5),0.821 (5),0.757 (5),0.812 (5),,,,,
438767,yoyo,0.733 (6),0.787 (6),0.712 (6),0.756 (6),,,,,
437598,ISCLAB,0.708 (7),0.770 (7),0.686 (7),0.740 (7),,,,,
437594,lanman,0.686 (8),0.747 (8),0.684 (8),0.740 (8),,,,,
440357,dragoni,0.331 (9),0.370 (9),0.301 (9),0.323 (9),,,,,
439145,utpalsikdar,0.164 (10),0.178 (10),0.098 (11),0.099 (11),,,,,
439109,NAVEEN.J.R,0.155 (11),0.174 (11),0.072 (12),0.073 (12),,,,,
439367,Amrita_student,0.125 (12),0.140 (12),0.117 (10),0.127 (10),,,,,
439459,thelonewolf190694,-0.004 (13),-0.005 (13),-0.001 (13),-0.001 (13),,,,,
500063,mhjabreel,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
496648,yjiang18,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
488537,nvidia-AI,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
486041,AngeloMarlon,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
481606,derrickpehjh,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
437726,CZWin32768,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
437810,hhaddad,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
442297,to.john.mcgonical,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
441651,ad26kt,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
445038,wangmin,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
439087,hebe,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
439099,minok00,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
439130,AlexandraFlescan,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
439196,NAGOUDI,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
439843,ruwanw,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
440376,Habibeh,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
440637,dmikrav,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
460109,FrosinaStojanovska,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
451204,prabod,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
466305,dominikstanojevic,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
469089,bakrianoo,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
440157,bicici,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
469166,Malak,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
475341,nvidia,-999.999 (14),-999.999 (14),-999.999 (14),-999.999 (14),,,,,
submission_pk,User,Pearson (all classes),Pearson (some-emotion),Kappa  (all classes),Kappa (some-emotion)
,valence,valence,valence,valence
469166,Malak,0.786 (1),0.825 (1),0.772 (1),0.803 (1),,,,,
439367,Amrita_student,0.383 (2),0.414 (2),0.379 (2),0.411 (2),,,,,
439196,NAGOUDI,0.328 (3),0.350 (3),0.321 (3),0.340 (3),,,,,
439109,NAVEEN.J.R,0.198 (4),0.210 (4),0.132 (4),0.145 (4),,,,,
439459,thelonewolf190694,0.163 (5),0.170 (5),0.093 (5),0.102 (5),,,,,
500063,mhjabreel,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
496648,yjiang18,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
488537,nvidia-AI,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
486041,AngeloMarlon,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
481606,derrickpehjh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
437726,CZWin32768,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
437810,hhaddad,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
442297,to.john.mcgonical,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
438639,psyml,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
438767,yoyo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
437594,lanman,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
437598,ISCLAB,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
441651,ad26kt,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
445038,wangmin,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439087,hebe,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439099,minok00,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439130,AlexandraFlescan,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439145,utpalsikdar,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439154,jogonba2,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439143,danielfl,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439349,venkatesh-1729,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439843,ruwanw,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
439905,anasteam,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
440357,dragoni,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
440376,Habibeh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
440637,dmikrav,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
460109,FrosinaStojanovska,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
451204,prabod,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
466305,dominikstanojevic,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
469089,bakrianoo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
440157,bicici,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
475341,nvidia,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,
submission_pk,User,Pearson (all classes),Pearson (some-emotion),Kappa  (all classes),Kappa (some-emotion)
,valence,valence,valence,valence
439143,danielfl,0.765 (1),0.804 (1),0.759 (1),0.797 (1),,,,,
439154,jogonba2,0.729 (2),0.765 (2),0.707 (2),0.742 (2),,,,,
438767,yoyo,0.556 (3),0.591 (3),0.538 (3),0.561 (3),,,,,
439109,NAVEEN.J.R,0.243 (4),0.259 (4),0.178 (4),0.182 (4),,,,,
439367,Amrita_student,0.127 (5),0.137 (5),0.105 (5),0.107 (5),,,,,
439459,thelonewolf190694,0.048 (6),0.061 (6),0.021 (6),0.023 (6),,,,,
500063,mhjabreel,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
496648,yjiang18,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
488537,nvidia-AI,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
486041,AngeloMarlon,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
481606,derrickpehjh,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
437726,CZWin32768,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
437810,hhaddad,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
442297,to.john.mcgonical,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
438639,psyml,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
437594,lanman,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
437598,ISCLAB,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
441651,ad26kt,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
445038,wangmin,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439087,hebe,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439099,minok00,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439130,AlexandraFlescan,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439145,utpalsikdar,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439196,NAGOUDI,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439349,venkatesh-1729,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439843,ruwanw,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
439905,anasteam,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
440357,dragoni,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
440376,Habibeh,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
440637,dmikrav,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
460109,FrosinaStojanovska,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
451204,prabod,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
466305,dominikstanojevic,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
469089,bakrianoo,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
440157,bicici,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
469166,Malak,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
475341,nvidia,-999.999 (7),-999.999 (7),-999.999 (7),-999.999 (7),,,,,
submission_pk,User,accuracy,micro-avg F1,macro-avg F1
500063,mhjabreel,0.578 (1),0.694 (2),0.538 (4),
488537,nvidia-AI,0.577 (2),0.690 (3),0.561 (2),
438639,psyml,0.574 (3),0.697 (1),0.574 (1),
451204,prabod,0.574 (4),0.689 (4),0.500 (6),
439143,danielfl,0.566 (5),0.673 (7),0.490 (7),
438767,yoyo,0.558 (6),0.674 (6),0.488 (8),
439349,venkatesh-1729,0.558 (7),0.677 (5),0.476 (9),
439154,jogonba2,0.552 (8),0.658 (9),0.512 (5),
475341,nvidia,0.539 (9),0.664 (8),0.543 (3),
496648,yjiang18,0.518 (10),0.635 (11),0.468 (10),
441651,ad26kt,0.516 (11),0.640 (10),0.435 (14),
437594,lanman,0.501 (12),0.631 (12),0.467 (11),
437810,hhaddad,0.481 (13),0.607 (14),0.452 (12),
440637,dmikrav,0.477 (14),0.610 (13),0.416 (15),
460109,FrosinaStojanovska,0.468 (15),0.577 (15),0.435 (13),
437598,ISCLAB,0.407 (16),0.533 (16),0.414 (16),
440357,dragoni,0.192 (17),0.318 (17),0.268 (17),
439367,Amrita_student,0.172 (18),0.260 (18),0.148 (18),
439109,NAVEEN.J.R,0.029 (19),0.011 (19),0.006 (19),
439459,thelonewolf190694,0.024 (20),0.002 (20),0.001 (20),
486041,AngeloMarlon,-999.999 (21),-999.999 (21),-999.999 (21),
481606,derrickpehjh,-999.999 (21),-999.999 (21),-999.999 (21),
437726,CZWin32768,-999.999 (21),-999.999 (21),-999.999 (21),
442297,to.john.mcgonical,-999.999 (21),-999.999 (21),-999.999 (21),
445038,wangmin,-999.999 (21),-999.999 (21),-999.999 (21),
439087,hebe,-999.999 (21),-999.999 (21),-999.999 (21),
439099,minok00,-999.999 (21),-999.999 (21),-999.999 (21),
439130,AlexandraFlescan,-999.999 (21),-999.999 (21),-999.999 (21),
439145,utpalsikdar,-999.999 (21),-999.999 (21),-999.999 (21),
439196,NAGOUDI,-999.999 (21),-999.999 (21),-999.999 (21),
439843,ruwanw,-999.999 (21),-999.999 (21),-999.999 (21),
439905,anasteam,-999.999 (21),-999.999 (21),-999.999 (21),
440376,Habibeh,-999.999 (21),-999.999 (21),-999.999 (21),
466305,dominikstanojevic,-999.999 (21),-999.999 (21),-999.999 (21),
469089,bakrianoo,-999.999 (21),-999.999 (21),-999.999 (21),
440157,bicici,-999.999 (21),-999.999 (21),-999.999 (21),
469166,Malak,-999.999 (21),-999.999 (21),-999.999 (21),
submission_pk,User,accuracy,micro-avg F1,macro-avg F1
437810,hhaddad,0.465 (1),0.597 (1),0.446 (1),
439367,Amrita_student,0.254 (2),0.379 (2),0.250 (2),
469089,bakrianoo,0.214 (3),0.312 (3),0.186 (3),
439459,thelonewolf190694,0.018 (4),0.023 (4),0.015 (4),
439109,NAVEEN.J.R,0.016 (5),0.019 (5),0.013 (5),
500063,mhjabreel,-999.999 (6),-999.999 (6),-999.999 (6),
496648,yjiang18,-999.999 (6),-999.999 (6),-999.999 (6),
488537,nvidia-AI,-999.999 (6),-999.999 (6),-999.999 (6),
486041,AngeloMarlon,-999.999 (6),-999.999 (6),-999.999 (6),
481606,derrickpehjh,-999.999 (6),-999.999 (6),-999.999 (6),
437726,CZWin32768,-999.999 (6),-999.999 (6),-999.999 (6),
442297,to.john.mcgonical,-999.999 (6),-999.999 (6),-999.999 (6),
438639,psyml,-999.999 (6),-999.999 (6),-999.999 (6),
438767,yoyo,-999.999 (6),-999.999 (6),-999.999 (6),
437594,lanman,-999.999 (6),-999.999 (6),-999.999 (6),
437598,ISCLAB,-999.999 (6),-999.999 (6),-999.999 (6),
441651,ad26kt,-999.999 (6),-999.999 (6),-999.999 (6),
445038,wangmin,-999.999 (6),-999.999 (6),-999.999 (6),
439087,hebe,-999.999 (6),-999.999 (6),-999.999 (6),
439099,minok00,-999.999 (6),-999.999 (6),-999.999 (6),
439130,AlexandraFlescan,-999.999 (6),-999.999 (6),-999.999 (6),
439145,utpalsikdar,-999.999 (6),-999.999 (6),-999.999 (6),
439154,jogonba2,-999.999 (6),-999.999 (6),-999.999 (6),
439143,danielfl,-999.999 (6),-999.999 (6),-999.999 (6),
439196,NAGOUDI,-999.999 (6),-999.999 (6),-999.999 (6),
439349,venkatesh-1729,-999.999 (6),-999.999 (6),-999.999 (6),
439843,ruwanw,-999.999 (6),-999.999 (6),-999.999 (6),
439905,anasteam,-999.999 (6),-999.999 (6),-999.999 (6),
440357,dragoni,-999.999 (6),-999.999 (6),-999.999 (6),
440376,Habibeh,-999.999 (6),-999.999 (6),-999.999 (6),
440637,dmikrav,-999.999 (6),-999.999 (6),-999.999 (6),
460109,FrosinaStojanovska,-999.999 (6),-999.999 (6),-999.999 (6),
451204,prabod,-999.999 (6),-999.999 (6),-999.999 (6),
466305,dominikstanojevic,-999.999 (6),-999.999 (6),-999.999 (6),
440157,bicici,-999.999 (6),-999.999 (6),-999.999 (6),
469166,Malak,-999.999 (6),-999.999 (6),-999.999 (6),
475341,nvidia,-999.999 (6),-999.999 (6),-999.999 (6),
submission_pk,User,accuracy,micro-avg F1,macro-avg F1
439154,jogonba2,0.458 (1),0.535 (1),0.440 (1),
437810,hhaddad,0.438 (2),0.520 (2),0.392 (2),
438767,yoyo,0.291 (3),0.354 (3),0.178 (3),
439367,Amrita_student,0.108 (4),0.118 (4),0.060 (4),
439109,NAVEEN.J.R,0.050 (5),0.001 (5),0.001 (5),
439459,thelonewolf190694,0.050 (6),0.001 (6),0.000 (6),
500063,mhjabreel,-999.999 (7),-999.999 (7),-999.999 (7),
496648,yjiang18,-999.999 (7),-999.999 (7),-999.999 (7),
488537,nvidia-AI,-999.999 (7),-999.999 (7),-999.999 (7),
486041,AngeloMarlon,-999.999 (7),-999.999 (7),-999.999 (7),
481606,derrickpehjh,-999.999 (7),-999.999 (7),-999.999 (7),
437726,CZWin32768,-999.999 (7),-999.999 (7),-999.999 (7),
442297,to.john.mcgonical,-999.999 (7),-999.999 (7),-999.999 (7),
438639,psyml,-999.999 (7),-999.999 (7),-999.999 (7),
437594,lanman,-999.999 (7),-999.999 (7),-999.999 (7),
437598,ISCLAB,-999.999 (7),-999.999 (7),-999.999 (7),
441651,ad26kt,-999.999 (7),-999.999 (7),-999.999 (7),
445038,wangmin,-999.999 (7),-999.999 (7),-999.999 (7),
439087,hebe,-999.999 (7),-999.999 (7),-999.999 (7),
439099,minok00,-999.999 (7),-999.999 (7),-999.999 (7),
439130,AlexandraFlescan,-999.999 (7),-999.999 (7),-999.999 (7),
439145,utpalsikdar,-999.999 (7),-999.999 (7),-999.999 (7),
439143,danielfl,-999.999 (7),-999.999 (7),-999.999 (7),
439196,NAGOUDI,-999.999 (7),-999.999 (7),-999.999 (7),
439349,venkatesh-1729,-999.999 (7),-999.999 (7),-999.999 (7),
439843,ruwanw,-999.999 (7),-999.999 (7),-999.999 (7),
439905,anasteam,-999.999 (7),-999.999 (7),-999.999 (7),
440357,dragoni,-999.999 (7),-999.999 (7),-999.999 (7),
440376,Habibeh,-999.999 (7),-999.999 (7),-999.999 (7),
440637,dmikrav,-999.999 (7),-999.999 (7),-999.999 (7),
460109,FrosinaStojanovska,-999.999 (7),-999.999 (7),-999.999 (7),
451204,prabod,-999.999 (7),-999.999 (7),-999.999 (7),
466305,dominikstanojevic,-999.999 (7),-999.999 (7),-999.999 (7),
469089,bakrianoo,-999.999 (7),-999.999 (7),-999.999 (7),
440157,bicici,-999.999 (7),-999.999 (7),-999.999 (7),
469166,Malak,-999.999 (7),-999.999 (7),-999.999 (7),
475341,nvidia,-999.999 (7),-999.999 (7),-999.999 (7),
